Code,Area,Economically Inactive; Jan 2004-Dec 2004,Working age; Jan 2004-Dec 2004,percent; Jan 2004-Dec 2004,confidence; Jan 2004-Dec 2004,Economically Inactive; Jan 2005-Dec 2005,Working age; Jan 2005-Dec 2005,percent; Jan 2005-Dec 2005,confidence; Jan 2005-Dec 2005,Economically Inactive; Jan 2006-Dec 2006,Working age; Jan 2006-Dec 2006,percent; Jan 2006-Dec 2006,confidence; Jan 2006-Dec 2006,Economically Inactive; Jan 2007-Dec 2007,Working age; Jan 2007-Dec 2007,percent; Jan 2007-Dec 2007,confidence; Jan 2007-Dec 2007,Economically Inactive; Jan 2008-Dec 2008,Working age; Jan 2008-Dec 2008,percent; Jan 2008-Dec 2008,confidence; Jan 2008-Dec 2008,Economically Inactive; Jan 2009-Dec 2009,Working age; Jan 2009-Dec 2009,percent; Jan 2009-Dec 2009,confidence; Jan 2009-Dec 2009,Economically Inactive; Jan 2010-Dec 2010,Working age; Jan 2010-Dec 2010,percent; Jan 2010-Dec 2010,confidence; Jan 2010-Dec 2010,Economically Inactive; Jan 2011-Dec 2011,Working age; Jan 2011-Dec 2011,percent; Jan 2011-Dec 2011,confidence; Jan 2011-Dec 2011,Economically Inactive; Jan 2012-Dec 2012,Working age; Jan 2012-Dec 2012,percent; Jan 2012-Dec 2012,confidence; Jan 2012-Dec 2012,Economically Inactive; Jan 2013-Dec 2013,Working age; Jan 2013-Dec 2013,percent; Jan 2013-Dec 2013,confidence; Jan 2013-Dec 2013,Economically Inactive; Jan 2014-Dec 2014,Working age; Jan 2014-Dec 2014,percent; Jan 2014-Dec 2014,confidence; Jan 2014-Dec 2014,Economically Inactive; Jan 2015-Dec 2015,Working age; Jan 2015-Dec 2015,percent; Jan 2015-Dec 2015,confidence; Jan 2015-Dec 2015,Economically Inactive; Jan 2016-Dec 2016,Working age; Jan 2016-Dec 2016,percent; Jan 2016-Dec 2016,confidence; Jan 2016-Dec 2016,Economically Inactive; Jan 2017-Dec 2017,Working age; Jan 2017-Dec 2017,percent; Jan 2017-Dec 2017,confidence; Jan 2017-Dec 2017,Economically Inactive; Jan 2018-Dec 2018,Working age; Jan 2018-Dec 2018,percent; Jan 2018-Dec 2018,confidence; Jan 2018-Dec 2018,Economically Inactive; Jan 2019-Dec 2019,Working age; Jan 2019-Dec 2019,percent; Jan 2019-Dec 2019,confidence; Jan 2018-Dec 2018
E09000011,Greenwich,"40,200","151,000",26.6,3.4,"39,600","154,300",25.6,3.4,"42,200","157,600",27,3.6,40000,"158,700",25,3.5,46900,"160,900",29,4,47800,163400,29,4,43800,167900,26,3,"40,900",171000,23.9,3,"38,800",174400,22.3,3,"49,000","177,100",27.6,4,"44,700","179,100",24.9,4,"39,500","184,900",21,3.7,39100,"184,800",21,3.9,41200,"189,300",22,3.6,47200,"194,800",24,4,37900,"195,900",19.3,3.5
E09000012,Hackney,"53,800","146,000",36.8,3.7,"60,400","148,800",40.6,3.9,"50,700","152,600",33,3.6,46400,"158,300",29,3.5,45500,"163,500",28,3,41400,169200,25,3,41900,174000,24,3,"48,600",178900,27.2,4,"54,800",182500,30,4,"55,200","185,600",29.8,3.7,"48,600","190,100",25.6,3.4,"51,700","193,500",27,3.6,49800,"197,700",25,3.6,50400,"200,000",25,3.8,52000,"202,600",26,3.9,50000,"206,600",24.2,3.9
E09000013,Hammersmith and Fulham,"31,900","126,000",25.3,3.9,"31,000","127,000",24.4,3.2,"31,500","129,300",24,3.4,30700,"130,200",24,3.6,30700,"129,800",24,4,35000,132900,26,4,38200,134200,29,4,"37,800",135300,27.9,3,"32,100",133700,24,3,"32,900","133,300",24.7,3.4,"25,700","131,600",19.5,3.2,"24,800","130,200",19,3.4,27900,"130,400",21,3.7,27100,"129,900",21,3.9,24000,"127,100",19,3.8,27100,"126,500",21.4,4.3
E09000014,Haringey,"55,600","157,700",35.2,3.4,"45,500","159,500",28.5,3.3,"43,600","163,600",27,3.5,48600,"165,800",29,3.7,55800,"171,900",33,4,56300,175000,32,4,56300,176900,32,4,"47,700",181600,26.3,4,"50,100",181500,27.6,4,"46,200","183,500",25.2,3.4,"47,500","185,400",25.6,3.5,"45,400","187,400",24,3.5,44700,"192,100",23,3.4,50100,"189,900",26,3.4,44500,"196,900",23,3.5,40800,"195,500",20.9,3.9
E09000015,Harrow,"33,700","143,700",23.5,3.8,"35,800","145,800",24.5,3.8,"32,100","147,600",22,3.7,34100,"148,800",23,3.6,39400,"149,000",27,4,32000,151900,21,4,34200,155700,22,4,"33,600",156800,21.4,3,"34,600",156600,22.1,3,"38,700","156,700",24.7,3.3,"36,600","156,700",23.4,3.4,"35,300","157,100",23,3.4,36700,"158,500",23,3.8,28600,"156,500",18,3.5,30300,"154,100",20,3.5,43200,"157,100",27.5,4.9
E09000016,Havering,"31,300","141,400",22.1,3.7,"32,200","143,700",22.4,3.7,"33,000","144,900",23,3.6,30200,"144,900",21,3.3,27700,"147,100",19,3,33300,149700,22,4,40100,150700,27,4,"29,900",151500,19.8,4,"36,200",151700,23.8,4,"34,700","151,700",22.9,3.8,"29,000","155,300",18.7,3.4,"30,100","155,200",19,3.5,27600,"158,900",17,3.5,32400,"158,800",20,3.6,27300,"160,300",17,3.3,33300,"161,200",20.7,3.7
E09000017,Hillingdon,"35,700","162,600",21.9,3.4,"39,900","164,000",24.3,3.5,"37,600","166,500",23,3.5,52200,"168,800",31,4,39700,"171,000",23,3,37500,173200,22,4,44300,175300,25,4,"43,600",183300,23.8,4,"41,900",185400,22.6,4,"42,900","188,200",22.8,3.5,"43,700","190,600",22.9,3.4,"43,300","194,800",22,3.5,41000,"194,300",21,3.7,42100,"195,700",22,3.6,43000,"199,400",22,3.6,48100,"200,500",24,4.5
E09000018,Hounslow,"36,000","150,300",24,3.2,"34,200","152,900",22.4,3.3,"32,700","157,600",21,3.1,43600,"162,400",27,3.7,40800,"164,000",25,4,37900,168000,23,4,38400,171800,22,3,"38,500",175100,22,3,"38,700",175900,22,3,"35,000","177,300",19.7,3.2,"36,700","179,500",20.5,3.5,"40,000","178,700",22,3.6,40300,"179,500",22,4.1,33000,"177,500",19,3.9,33000,"181,800",18,4.5,46600,"182,300",25.6,5.2
E09000019,Islington,"40,200","130,800",30.7,3.6,"43,500","132,600",32.8,3.7,"37,700","134,400",28,3.6,35700,"137,500",26,3.4,38100,"140,700",27,3,38800,145500,27,4,41900,146800,29,4,"37,500",154000,24.4,3,"43,600",158500,27.5,4,"39,400","160,100",24.6,3.6,"42,500","164,100",25.9,3.8,"39,900","168,900",24,3.7,42700,"172,500",25,3.8,35400,"174,800",20,3.6,34600,"175,800",20,3.9,34200,"175,500",19.5,3.9
E09000020,Kensington and Chelsea,"38,600","119,700",32.3,3.7,"35,800","122,000",29.4,3.6,"39,600","118,400",34,4,35400,"116,700",30,4,35000,"117,500",30,4,37900,117900,32,4,38200,115400,33,4,"37,400",113800,32.9,4,"34,500",111100,31,4,"32,400","109,800",29.5,3.5,"28,300","109,600",25.8,3.3,"31,700","109,500",29,3.5,29300,"107,900",27,3.9,27300,"104,600",26,4.2,36600,"103,800",35,4.7,31200,"103,800",30.1,4.7
E09000021,Kingston upon Thames,"24,000","104,100",23,3.6,"24,200","105,700",22.9,3.5,"23,600","106,500",22,3.4,27000,"106,300",25,3.8,25000,"106,800",23,4,23200,107200,22,4,24200,108100,22,4,"28,300",109400,25.9,4,"26,600",109900,24.2,4,"23,500","110,800",21.2,3.5,"23,300","111,600",20.9,3.5,"25,200","113,000",22,3.7,26700,"116,200",23,4,24700,"114,800",22,3.8,26900,"119,600",22,4,22900,"118,300",19.3,3.9
E09000022,Lambeth,"47,600","196,000",24.3,3.8,"54,300","199,600",27.2,3.7,"61,200","202,400",30,3.9,50700,"207,800",24,3.3,50100,"209,900",24,3,40500,216000,19,3,44000,219400,20,4,"40,900",224700,18.2,3,"47,700",227900,20.9,4,"35,600","232,800",15.3,3.3,"34,800","236,400",14.7,3.2,"38,900","236,600",16,3.5,34600,"241,600",14,3.6,36600,"243,400",15,3.7,43400,"244,500",18,3.6,40900,"244,600",16.7,3.4
E09000023,Lewisham,"40,400","173,600",23.3,3.3,"41,100","175,800",23.4,3.4,"42,100","177,600",24,3.5,45200,"181,200",25,3.5,42300,"186,400",23,3,41600,188900,22,4,52900,190000,28,4,"50,600",194900,26,4,"48,900",195900,25,4,"39,600","196,800",20.1,3.3,"42,300","201,700",21,3.3,"40,100","206,000",20,3.5,41700,"208,700",20,3.6,27900,"207,900",13,3.1,36900,"211,400",17,3.4,34700,"215,700",16.1,3.3
E09000024,Merton,"23,900","128,400",18.6,3.3,"31,200","130,700",23.9,3.7,"27,700","132,000",21,3.2,24700,"133,300",19,3.2,23100,"133,500",17,4,28800,135600,21,4,29900,135800,22,3,"30,100",136300,22.1,3,"29,000",136400,21.2,3,"27,600","138,700",19.9,3.5,"27,200","138,200",19.7,3.5,"24,200","138,200",18,3.3,27200,"137,300",20,3.7,24900,"135,400",18,3.9,20600,"138,700",15,3.5,21900,"139,000",15.8,3.3
E09000025,Newham,"67,100","170,800",39.3,3.8,"65,800","171,500",38.4,3.8,"61,100","175,600",35,3.6,65400,"181,700",36,3.7,64000,"188,500",34,4,68100,196200,35,4,76500,210300,36,4,"77,700",218700,35.5,4,"65,800",222800,29.6,4,"66,400","225,500",29.5,3.4,"75,200","229,900",32.7,3.7,"64,500","236,100",27,3.4,59100,"241,400",25,3.5,64400,"242,000",27,4,66800,"246,000",27,4.4,63300,"251,600",25.2,4.4
E09000026,Redbridge,"36,300","161,200",22.5,3.4,"50,700","164,200",30.9,3.9,"45,300","166,200",27,3.9,50400,"170,000",30,3.9,50500,"174,800",29,4,48600,177600,27,4,53600,180800,30,4,"54,300",182500,29.7,4,"52,500",184900,28.4,4,"46,900","189,600",24.8,3.4,"48,500","190,900",25.4,3.5,"49,200","193,300",26,3.5,44300,"195,100",23,3.4,47300,"196,000",24,3.4,54600,"201,200",27,3.5,54300,"202,100",26.8,4
E09000027,Richmond upon Thames,"30,400","121,000",25.1,3.7,"26,100","122,100",21.4,3.3,"26,500","124,400",21,3.2,23800,"123,600",19,3.2,26400,"124,100",21,3,26400,122500,22,4,23500,122600,19,3,"28,200",125300,22.5,4,"25,600",125900,20.3,4,"24,700","124,800",19.8,3.3,"22,000","124,300",17.7,3.2,"21,300","123,000",17,3.4,19900,"125,300",16,3.5,29000,"125,800",23,3.9,23900,"123,700",19,3.9,22300,"125,100",17.9,3.9
E09000028,Southwark,"47,100","179,800",26.2,3.7,"57,800","186,000",31.1,3.8,"55,100","190,800",29,3.7,56800,"196,000",29,3.7,54000,"199,900",27,3,51500,202300,25,4,46900,206800,23,4,"59,300",211600,28,4,"50,600",213700,23.7,3,"58,700","218,100",26.9,3.4,"45,700","219,900",20.8,3,"43,500","224,200",19,3.1,41500,"225,500",18,3.3,35500,"228,900",16,3.1,40400,"232,500",17,3.3,43500,"234,100",18.6,3.6
E09000029,Sutton,"25,700","119,200",21.6,3.4,"21,100","119,800",17.6,3.3,"21,500","118,700",18,3.6,23300,"119,000",20,3.7,25300,"122,100",21,4,23100,123000,19,4,23000,123700,19,3,"25,200",124400,20.2,4,"24,700",125400,19.7,4,"21,100","125,500",16.8,3.7,"23,000","127,900",18,3.9,"22,400","129,200",17,3.7,22100,"128,900",17,3.5,20900,"129,800",16,3.4,21000,"129,300",16,3.4,21700,"131,800",16.5,3.2
E09000030,Tower Hamlets,"56,600","147,100",38.4,3.4,"51,700","149,200",34.6,3.6,"58,500","154,100",38,3.7,59700,"161,100",37,3.9,51300,"168,700",30,4,53000,176600,30,4,55800,182300,31,4,"57,600",188100,30.6,3,"58,400",193300,30.2,4,"53,800","200,600",26.8,3.5,"49,500","209,300",23.7,3.4,"48,800","215,800",23,3.4,49200,"220,300",22,3.8,70400,"225,100",31,4.1,52300,"230,300",23,4.2,60700,"235,600",25.8,4.3
E09000031,Waltham Forest,"47,800","150,800",31.7,3.6,"41,800","151,600",27.6,3.5,"43,600","156,000",28,3.8,45500,"160,100",28,3.9,49600,"163,900",30,4,47800,168500,28,4,46300,174000,27,4,"42,400",178300,23.8,3,"44,900",177800,25.3,4,"41,700","178,700",23.4,3.7,"44,400","178,600",24.9,4,"41,700","183,600",23,4.2,38600,"184,500",21,4,34200,"182,300",19,3.5,36400,"186,700",20,3.8,38200,"188,900",20.2,4.2
E09000032,Wandsworth,"42,100","206,400",20.4,3,"47,200","209,200",22.5,3.7,"48,500","214,300",23,3.7,45700,"216,600",21,3.7,41500,"219,500",19,3,38900,222900,18,3,46700,222100,21,4,"42,100",224900,18.7,4,"45,900",227600,20.2,3,"40,800","228,000",17.9,3.5,"39,600","229,100",17.3,3.3,"39,100","232,500",17,3.3,39500,"232,300",17,3.6,42700,"230,400",19,3.8,38100,"234,000",16,3.5,38000,"235,800",16.1,3.6
E09000033,Westminster,"49,200","158,000",31.2,3.5,"49,700","162,600",30.6,3.6,"54,000","167,600",32,3.7,55000,"166,800",33,3.4,50800,"161,300",32,3,43300,158100,27,4,50000,157400,32,4,"51,900",162200,32,4,"48,400",163500,29.6,3,"46,700","161,600",28.9,3.4,"47,900","163,600",29.3,3.4,"46,400","166,800",28,3.7,46200,"167,400",28,3.8,48800,"164,700",30,4.1,48300,"172,500",28,4.4,42900,"172,200",24.9,4.6
E13000001,Inner London,"610,700","2,065,000",29.6,1,"631,600","2,104,100",30,1,"627,800","2,135,900",29,1,618700,"2,175,300",28,1,602200,"2,215,400",27,1,591000,2260200,26,1,631600,2294300,28,1,"641,600",2348100,27.3,1,"627,900",2373000,26.5,1,"599,700","2,401,400",25,1,"576,500","2,440,800",23.6,0.9,"565,100","2,486,300",23,1,553800,"2,516,900",22,1,571400,"2,528,600",23,1,564200,"2,567,600",22,1.1,556300,"2,591,500",21.5,1.1
E13000002,Outer London,"724,100","2,974,100",24.3,0.8,"729,600","3,008,300",24.3,0.8,"730,700","3,047,600",24,0.8,764700,"3,086,700",25,0.8,766300,"3,136,100",24,1,778000,3183300,24,1,804200,3229700,25,1,"799,200",3282400,24.3,1,"775,200",3297000,23.5,1,"757,100","3,321,200",22.8,0.8,"769,400","3,348,800",23,0.8,"744,900","3,381,500",22,0.8,736500,"3,404,000",22,0.8,726800,"3,408,500",21,0.8,746700,"3,456,500",22,0.9,773400,"3,477,800",22.2,0.9
E12000001,North East,"448,100","1,621,100",27.6,0.6,"437,900","1,630,300",26.9,0.6,"426,700","1,639,200",26,0.7,427000,"1,650,800",26,0.8,428600,"1,658,100",26,1,443000,1661600,27,1,443400,1667000,27,1,"457,500",1668600,27.4,1,"431,700",1658800,26,1,"434,100","1,654,800",26.2,0.8,"414,500","1,651,100",25.1,0.8,"409,200","1,647,400",25,0.8,403200,"1,648,600",25,0.8,405300,"1,646,000",25,0.8,406200,"1,641,300",25,0.8,409900,"1,637,100",25,0.8
E12000002,North West,"1,129,600","4,356,800",25.9,0.4,"1,120,300","4,390,000",25.5,0.5,"1,123,500","4,427,100",25,0.5,1127500,"4,457,200",25,0.5,1159700,"4,477,600",26,1,1142700,4490600,25,1,1131100,4507000,25,1,"1,145,800",4521000,25.3,1,"1,110,100",4499800,24.7,1,"1,124,300","4,484,400",25.1,0.6,"1,135,000","4,478,200",25.3,0.6,"1,108,100","4,488,500",25,0.6,1101600,"4,502,500",25,0.6,1061400,"4,507,300",24,0.6,1037200,"4,498,500",23,0.6,1001000,"4,494,800",22.3,0.6
E12000003,Yorkshire and The Humber,"787,800","3,226,200",24.4,0.6,"786,700","3,269,000",24.1,0.6,"786,100","3,295,400",24,0.6,815000,"3,321,200",25,0.6,811300,"3,344,900",24,1,827700,3353800,25,1,837800,3366600,25,1,"851,400",3379600,25.2,1,"806,900",3371500,23.9,1,"783,400","3,365,800",23.3,0.7,"795,200","3,361,300",23.7,0.7,"767,800","3,369,500",23,0.7,792900,"3,378,800",24,0.7,765400,"3,381,500",23,0.7,773800,"3,380,400",23,0.7,770100,"3,379,800",22.8,0.7
E12000004,East Midlands,"636,500","2,742,100",23.2,0.5,"623,800","2,774,200",22.5,0.5,"605,400","2,808,000",22,0.8,634000,"2,836,900",22,0.8,621000,"2,856,200",22,1,632700,2866800,22,1,674900,2881600,23,1,"659,500",2891500,22.8,1,"646,300",2884600,22.4,1,"651,800","2,885,200",22.6,0.8,"636,700","2,895,400",22,0.8,"654,300","2,909,300",23,0.9,642300,"2,929,600",22,0.9,660800,"2,948,300",22,0.9,638700,"2,939,500",22,0.9,588900,"2,942,600",20,0.9
E12000005,West Midlands,"826,200","3,377,000",24.5,0.5,"835,600","3,404,900",24.5,0.5,"841,900","3,436,200",25,0.7,859100,"3,463,800",25,0.7,861900,"3,488,800",25,1,859300,3496600,25,1,903300,3511700,26,1,"910,700",3531900,25.8,1,"886,400",3527800,25.1,1,"859,000","3,531,000",24.3,0.7,"876,900","3,539,900",24.8,0.7,"885,600","3,556,700",25,0.7,882000,"3,584,200",25,0.7,849700,"3,606,600",24,0.7,826600,"3,601,900",23,0.7,804500,"3,610,900",22.3,0.7
E12000006,East,"700,500","3,470,400",20.2,0.5,"721,900","3,514,000",20.5,0.5,"748,900","3,552,700",21,0.7,763100,"3,586,100",21,0.7,763100,"3,615,100",21,1,750200,3632100,21,1,785200,3660900,21,1,"769,400",3685500,20.9,1,"742,500",3674200,20.2,1,"724,600","3,678,400",19.7,0.7,"741,500","3,699,500",20,0.7,"721,300","3,720,800",19,0.7,749700,"3,737,400",20,0.7,719800,"3,745,600",19,0.7,720400,"3,759,800",19,0.7,731500,"3,771,700",19.4,0.7
E12000007,London,"1,334,800","5,039,000",26.5,0.6,"1,361,200","5,112,400",26.6,0.6,"1,358,400","5,183,500",26,0.6,1383400,"5,262,000",26,0.6,1368500,"5,351,500",26,1,1369000,5443400,25,1,1435800,5524000,26,1,"1,440,700",5630500,25.6,1,"1,403,000",5670000,24.7,1,"1,356,800","5,722,500",23.7,0.6,"1,345,900","5,789,600",23.2,0.6,"1,310,100","5,867,700",22,0.6,1290300,"5,920,900",22,0.6,1298300,"5,937,200",22,0.7,1310900,"6,024,100",22,0.7,1329800,"6,069,200",21.9,0.7
E12000008,South East,"1,017,200","5,144,200",19.8,0.4,"1,018,700","5,204,200",19.6,0.4,"1,029,300","5,262,300",20,0.5,1055900,"5,317,500",20,0.5,1060500,"5,358,600",20,1,1080900,5383700,20,1,1116600,5423300,21,1,"1,141,100",5448600,20.9,1,"1,110,000",5440200,20.4,1,"1,086,800","5,447,100",20,0.5,"1,109,600","5,470,900",20.3,0.5,"1,085,300","5,499,300",20,0.5,1053800,"5,531,800",19,0.5,1031900,"5,542,600",19,0.5,1065300,"5,559,000",19,0.6,1003000,"5,574,000",18,0.6
E12000009,South West,"671,500","3,124,200",21.5,0.5,"684,000","3,168,100",21.6,0.5,"677,100","3,199,900",21,0.6,673000,"3,238,500",21,0.6,668400,"3,253,400",21,1,673200,3255000,21,1,700800,3266900,22,1,"707,000",3279500,21.6,1,"705,500",3270600,21.6,1,"674,800","3,272,600",20.6,0.7,"649,400","3,280,900",19.8,0.6,"639,100","3,298,600",19,0.6,653400,"3,311,600",20,0.7,618200,"3,324,800",19,0.6,621200,"3,324,200",19,0.7,606100,"3,331,000",18.2,0.7
W92000004,Wales,"506,300","1,858,000",27.3,0.5,"505,000","1,870,600",27,0.5,"507,600","1,885,500",27,0.6,507700,"1,903,200",27,0.6,510000,"1,916,300",27,1,521700,1922000,27,1,525600,1924800,27,1,"521,400",1928500,27,1,"507,400",1918800,26.4,1,"479,000","1,913,400",25,0.6,"483,700","1,909,300",25.3,0.6,"479,300","1,906,300",25,0.6,481200,"1,908,900",25,0.6,457100,"1,909,900",24,0.6,446200,"1,911,300",23,0.6,450800,"1,909,500",23.6,0.6
S92000003,Scotland,"765,100","3,289,200",23.3,0.5,"758,600","3,310,400",22.9,0.4,"738,900","3,330,900",22,0.4,753700,"3,359,300",22,0.5,764300,"3,378,600",23,1,766800,3394000,23,1,784600,3411700,23,1,"794,600",3434000,23.1,1,"793,900",3420100,23.2,1,"790,300","3,416,300",23.1,0.5,"769,300","3,414,600",22.5,0.5,"764,000","3,424,100",22,0.5,799400,"3,435,500",23,0.6,776500,"3,440,800",23,0.6,777600,"3,442,700",23,0.6,772800,"3,442,200",22.5,0.6
